Run	Alias	Assay Type	BioProject	BioSample	BioSourceType	Broker_name	Center Name	clinical_history	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Description	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	Experiment	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	itraconazole_resistance	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	overall_azole_resistance	Platform	posaconazole_resistance	ReleaseDate	sample_acc	Sample Name	sample_name	SRA_accession	SRA Study	strain	title	voraconazole_resistance	AssemblyName	pathogenicity	AvgSpotLen	MBases	MBytes
ERR232409	E-SYBR-1:M128	WGS	PRJEB1497	SAMEA2051881	fresh sample	ArrayExpress	CNAG	environmental sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206963	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:56Z	public	Illumina HiSeq 2000	sensitive to itraconazole	M128	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216926	SAMEA2051881	ERS216926	ERS216926	ERP002270	M128	M128	sensitive to voraconazole	ASM265v1	environmental			
ERR232410	E-SYBR-1:CF098	WGS	PRJEB1497	SAMEA2052100	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206983	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	CF098	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216946	SAMEA2052100	ERS216946	ERS216946	ERP002270	CF098	CF098	sensitive to voraconazole	ASM265v1	pathogenic			
ERR232411	E-SYBR-1:SF4S10	WGS	PRJEB1497	SAMEA2051811	fresh sample	ArrayExpress	CNAG	environmental soil sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206956	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:56Z	public	Illumina HiSeq 2000	sensitive to itraconazole	SF4S10	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216918	SAMEA2051811	ERS216918	ERS216918	ERP002270	SF4S10	SF4S10	sensitive to voraconazole	ASM265v1	environmental			
ERR232412	E-SYBR-1:F18454	WGS	PRJEB1497	SAMEA2052097	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206980	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	F18454	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-resistant	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216943	SAMEA2052097	ERS216943	ERS216943	ERP002270	F18454	F18454	resistant to voraconazole	ASM265v1	pathogenic			
ERR232413	E-SYBR-1:F20140	WGS	PRJEB1497	SAMEA2051968	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206971	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	resistant to itraconazole	F20140	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-resistant	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216934	SAMEA2051968	ERS216934	ERS216934	ERP002270	F20140	F20140	resistant to voraconazole	ASM265v1	pathogenic			
ERR232415	E-SYBR-1:SF1S6	WGS	PRJEB1497	SAMEA2052102	fresh sample	ArrayExpress	CNAG	environmental soil sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206985	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	SF1S6	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216948	SAMEA2052102	ERS216948	ERS216948	ERP002270	SF1S6	SF1S6	sensitive to voraconazole	ASM265v1	environmental			
ERR232416	E-SYBR-1:F4S9A	WGS	PRJEB1497	SAMEA2051878	fresh sample	ArrayExpress	CNAG	environmental soil sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206961	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:56Z	public	Illumina HiSeq 2000	unknown resistance to itraconazole	F4S9A	PAIRED	PCR	GENOMIC	Aspergillus fischeri	unknown azole resistance	ILLUMINA	unknown resistance to posaconazole	2016-05-01T00:00:00Z	ERS216923	SAMEA2051878	ERS216923	ERS216923	ERP002270	F4S9A	F4S9A	unknown resistance to voraconazole to voraconazole					
ERR232417	E-SYBR-1:F17999	WGS	PRJEB1497	SAMEA2051810	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206955	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:56Z	public	Illumina HiSeq 2000	resistant to itraconazole	F17999	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-resistant	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216917	SAMEA2051810	ERS216917	ERS216917	ERP002270	F17999	F17999	resistant to voraconazole	ASM265v1	pathogenic			
ERR232418	E-SYBR-1:F18329	WGS	PRJEB1497	SAMEA2051975	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206978	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	F18329	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-resistant	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216941	SAMEA2051975	ERS216941	ERS216941	ERP002270	F18329	F18329	resistant to voraconazole	ASM265v1	pathogenic			
ERR232419	E-SYBR-1:AF300	WGS	PRJEB1497	SAMEA2051879	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206962	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:56Z	public	Illumina HiSeq 2000	sensitive to itraconazole	AF300	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216924	SAMEA2051879	ERS216924	ERS216924	ERP002270	AF300	AF300	sensitive to voraconazole	ASM265v1	pathogenic			
ERR232420	E-SYBR-1:AF300	WGS	PRJEB1497	SAMEA2051879	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206962	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:56Z	public	Illumina HiSeq 2000	sensitive to itraconazole	AF300	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216924	SAMEA2051879	ERS216924	ERS216924	ERP002270	AF300	AF300	sensitive to voraconazole	ASM265v1	pathogenic			
ERR232422	E-SYBR-1:SF2S6	WGS	PRJEB1497	SAMEA2051972	fresh sample	ArrayExpress	CNAG	environmental sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206975	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	SF2S6	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216938	SAMEA2051972	ERS216938	ERS216938	ERP002270	SF2S6	SF2S6	sensitive to voraconazole	ASM265v1	environmental			
ERR232423	E-SYBR-1:CEA10-2	WGS	PRJEB1497	SAMEA2051887	fresh sample	ArrayExpress	CNAG	clinical sample	public	sra,bam	gs,ncbi,ena,s3	ena,ncbi.public,gs.US,s3.us-east-1	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206969	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	CEA10-2	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216932	SAMEA2051887	ERS216932	ERS216932	ERP002270	CEA10-2	CEA10-2	sensitive to voraconazole	GCA_000150145.1	pathogenic	200	1729	804
ERR232424	E-SYBR-1:JN10	WGS	PRJEB1497	SAMEA2051970	fresh sample	ArrayExpress	CNAG	environmental sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206973	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	JN10	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216936	SAMEA2051970	ERS216936	ERS216936	ERP002270	JN10	JN10	sensitive to voraconazole	ASM265v1	environmental			
ERR232426	E-SYBR-1:CEA10	WGS	PRJEB1497	SAMEA2052099	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206982	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	CEA10	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216945	SAMEA2052099	ERS216945	ERS216945	ERP002270	CEA10	CEA10	sensitive to voraconazole	ASM15014v1	pathogenic			
ERR232427	E-SYBR-1:CEA10-2	WGS	PRJEB1497	SAMEA2051887	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206969	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	CEA10-2	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216932	SAMEA2051887	ERS216932	ERS216932	ERP002270	CEA10-2	CEA10-2	sensitive to voraconazole	ASM265v1	pathogenic			
ERR232428	E-SYBR-1:CEA10	WGS	PRJEB1497	SAMEA2052099	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam,sra	ena,gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1,ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206982	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	CEA10	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216945	SAMEA2052099	ERS216945	ERS216945	ERP002270	CEA10	CEA10	sensitive to voraconazole	GCA_000150145.1	pathogenic	200	1619	615
ERR232431	E-SYBR-1:SF3S1	WGS	PRJEB1497	SAMEA2051971	fresh sample	ArrayExpress	CNAG	environmental soil sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206974	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	SF3S1	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216937	SAMEA2051971	ERS216937	ERS216937	ERP002270	SF3S1	SF3S1	sensitive to voraconazole	ASM265v1	environmental			
ERR232432	E-SYBR-1:SF2S9	WGS	PRJEB1497	SAMEA2051969	fresh sample	ArrayExpress	CNAG	environmental soil sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206972	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	SF2S9	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216935	SAMEA2051969	ERS216935	ERS216935	ERP002270	SF2S9	SF2S9	sensitive to voraconazole	ASM265v1	environmental			
ERR232433	E-SYBR-1:F8226-2	WGS	PRJEB1497	SAMEA2051883	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206965	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2018-03-09T10:08:51Z	public	Illumina HiSeq 2000	unknown resistance to itraconazole	F8226-2	PAIRED	PCR	GENOMIC	Aspergillus nidulans	unknown azole resistance	ILLUMINA	unknown resistance to posaconazole	2016-05-01T00:00:00Z	ERS216928	SAMEA2051883	ERS216928	ERS216928	ERP002270	F8226-2	F8226-2	unknown resistance to voraconazole to voraconazole	ASM1142v1				
