AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	strain	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collected_by	geo_loc_name	host	host_disease	isolation_source	lat_lon
259	SAMN09470311	SRX4289890	CM7555	4815	2244	SRR7418938	SRS3453366	CM7555	2014	CM7555	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
282	SAMN09470310	SRX4289889	CM7510	1935	918	SRR7418939	SRS3453365	CM7510	2014	CM7510	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
293	SAMN09470298	SRX4289888	TP12	1494	613	SRR7418940	SRS3453364	TP12	2001	TP12	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
293	SAMN09470299	SRX4289887	CM7632	1956	805	SRR7418941	SRS3453363	CM7632	2015	CM7632	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
290	SAMN09470300	SRX4289886	CM237	2301	909	SRR7418942	SRS3453362	CM237	1996	CM237	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
279	SAMN09470301	SRX4289885	ATCC204305	2241	876	SRR7418943	SRS3453361	ATCC 204305	1995	ATCC 204305	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
281	SAMN09470302	SRX4289884	CM5419	2375	939	SRR7418944	SRS3453360	CM5419	2008	CM5419	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
293	SAMN09470303	SRX4289883	CM3248	1753	717	SRR7418945	SRS3453359	CM3248	2005	CM3248	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
281	SAMN09470304	SRX4289882	TP32	2940	1387	SRR7418946	SRS3453358	TP32	2010	TP32	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
272	SAMN09470305	SRX4289881	CM2141	3158	1469	SRR7418947	SRS3453356	CM2141	1998	CM2141	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
282	SAMN09470306	SRX4289880	CM4946	2439	1147	SRR7418948	SRS3453357	CM4946	2007	CM4946	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
277	SAMN09470307	SRX4289879	CM5757	3016	1417	SRR7418949	SRS3453355	CM5757	2009	CM5757	WGS	PRJNA477519	Pathogen.cl	public	sra	ncbi	0	NextSeq 500	PAIRED	RANDOM	GENOMIC	2018-06-25	Aspergillus fumigatus	ILLUMINA	2018-08-08	SRP151231	Emilia Mellado, Rocio Garcia-Rubio, CNM, Instituto de Salud Carlos III	Spain	Homo sapiens	Aspergillosis	clinical	40.25 N 3.41 W
