SampleID	Strain	CONTIG COUNT 	L50 	L90 	MAX 	MEAN 	MEDIAN 	MIN 	N50 	N90 	TOTAL LENGTH 	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
Af293	Af293	290	22	68	1700927	98369.32	6299	512	393637	120436	28527102	-	-	-	-	-	-
Af65	Af65	282	26	76	1100696	102144.68	11449	505	363712	96425	28804800	-	-	-	-	-	-
Afu_124_E11	Afu_124_E11	256	21	71	1187714	109947.94	9701	500	436631	108472	28146672	-	-	-	-	-	-
Afu_166_E11	Afu_166_E11	265	21	65	1112072	106162.27	6403	501	514625	114472	28133002	-	-	-	-	-	-
Afu_218_E11	Afu_218_E11	257	20	67	1720452	109498.45	9488	500	506681	109674	28141101	-	-	-	-	-	-
Afu_257_E11	Afu_257_E11	242	19	67	1577607	116347.81	11154	500	446932	108472	28156171	-	-	-	-	-	-
Afu_343_P_11	Afu_343_P_11	499	24	100	1623155	57857.74	2600	500	418909	63778	28871011	-	-	-	-	-	-
Afu_591_12	Afu_591_12	275	19	68	1622055	102148.44	7225	500	449466	110519	28090820	-	-	-	-	-	-
Afu_942_09	Afu_942_09	231	19	65	1249977	122065.77	16218	500	449466	110518	28197192	-	-	-	-	-	-
B10540_CDC-20	B10540_CDC-20	212	29	86	1068758	132658.08	54146	511	340340	106365	28123514	-	-	-	-	-	-
B1821_CDC-8	B1821_CDC-8	347	36	108	646039	84840.76	12642	500	315550	70496	29439742	-	-	-	-	-	-
B5224_CDC-21	B5224_CDC-21	188	21	64	1150607	149686.75	37233	500	440114	127722	28141109	-	-	-	-	-	-
B5257_CDC-28	B5257_CDC-28	181	19	65	1538344	158280.04	39740	564	469377	121553	28648688	-	-	-	-	-	-
B5259_CDC-23	B5259_CDC-23	192	22	65	1219291	145807.59	25748	513	431667	140553	27995057	-	-	-	-	-	-
B5269_CDC-24	B5269_CDC-24	268	26	85	1310694	104808.10	20393	503	330574	87471	28088570	-	-	-	-	-	-
B5288_CDC-16	B5288_CDC-16	457	24	89	1217382	63554.39	3444	503	391812	68961	29044354	-	-	-	-	-	-
B5289_CDC-25	B5289_CDC-25	381	33	109	992315	75130.54	8537	502	277546	70538	28624735	-	-	-	-	-	-
B5460_CDC-13	B5460_CDC-13	251	31	96	869082	114133.70	39741	527	295096	86930	28647558	-	-	-	-	-	-
B5461_CDC-2	B5461_CDC-2	220	27	77	1317016	126570.45	28396	513	371952	108858	27845500	-	-	-	-	-	-
B5852	B5852	1020	121	402	343274	27583.01	9289	502	70967	19299	28134673	-	-	-	-	-	-
B5854	B5854	1023	118	392	401561	27508.65	8109	502	73303	19434	28141348	-	-	-	-	-	-
B5856	B5856	1023	120	408	338489	27510.19	9638	502	72058	18988	28142923	-	-	-	-	-	-
B5859	B5859	1387	122	419	299408	20729.47	2714	500	70896	18103	28751779	-	-	-	-	-	-
B5863	B5863	1006	115	375	343308	27968.34	7896	502	77172	20166	28136147	-	-	-	-	-	-
B5866	B5866	967	111	367	401566	29096.52	8228	512	80192	21353	28136335	-	-	-	-	-	-
B5868	B5868	1005	119	390	371821	27991.64	8722	502	72197	19747	28131597	-	-	-	-	-	-
B6069	B6069	1210	95	343	649896	23762.76	2846	500	91215	19165	28752938	-	-	-	-	-	-
B6074	B6074	1063	101	350	630839	26862.27	5011	500	84988	19600	28554591	-	-	-	-	-	-
B6078	B6078	1093	102	363	630838	26119.01	5181	500	85370	19122	28548078	-	-	-	-	-	-
B6079	B6079	1028	97	332	630841	27789.04	4773	500	91659	21895	28567131	-	-	-	-	-	-
B6081	B6081	1370	139	486	630822	21376.59	5159	500	61222	15057	29285925	-	-	-	-	-	-
B6892_CDC-3	B6892_CDC-3	182	22	69	1294553	154333.41	47063	544	418938	107207	28088681	-	-	-	-	-	-
B6893_CDC-4	B6893_CDC-4	282	39	132	713411	100262.97	50892	527	240881	56826	28274158	-	-	-	-	-	-
B72911_CDC-15	B72911_CDC-15	191	29	86	1124429	146839.48	78097	507	318938	109987	28046340	-	-	-	-	-	-
B7444_CDC-7	B7444_CDC-7	178	21	75	1370428	159790.15	78614	517	430241	111166	28442646	-	-	-	-	-	-
B7518_CDC-26	B7518_CDC-26	330	25	71	954575	86418.11	2363	500	401071	131998	28517975	-	-	-	-	-	-
B7586_CDC-30	B7586_CDC-30	416	23	78	1146366	69306.61	2606	507	436297	106968	28831550	-	-	-	-	-	-
CEA10	CEA10	843	98	344	355619	34338.33	12711	502	91642	22425	28947214	-	-	-	-	-	-
CEA10-2	CEA10-2	955	117	414	293099	30067.93	12519	501	72534	16889	28714873	-	-	-	-	-	-
CEA10-MCH	CEA10-MCH	836	93	349	349672	34324.88	14125	503	90296	19311	28695598	-	-	-	-	-	-
CF337	CF337	1394	172	605	192513	20121.50	9142	501	48641	11906	28049368	-	-	-	-	-	-
CM2141	CM2141	923	96	340	310698	31851.53	8660	500	91947	23826	29398963	-	-	-	-	-	-
CM237	CM237	1067	101	358	414520	27323.65	5440	500	91912	19605	29154331	-	-	-	-	-	-
CM2495	CM2495	675	97	325	271243	39739.71	22824	509	85619	24863	26824303	-	-	-	-	-	-
CM2730	CM2730	639	94	304	293857	42899.58	24767	506	94504	26783	27412832	-	-	-	-	-	-
CM2733	CM2733	688	95	295	287596	39904.11	20121	504	98668	26599	27454029	-	-	-	-	-	-
CM3248	CM3248	793	87	316	375608	35107.82	13377	500	98858	25172	27840499	-	-	-	-	-	-
CM3249	CM3249	883	127	411	328925	31022.56	17601	502	64532	20398	27392921	-	-	-	-	-	-
CM3249b	CM3249b	705	101	319	317997	38621.13	21776	505	82758	26262	27227899	-	-	-	-	-	-
CM3262	CM3262	745	96	313	471495	36959.31	15905	499	95663	24515	27534685	-	-	-	-	-	-
CM4602	CM4602	734	98	325	293117	37394.60	19190	503	88260	24666	27447640	-	-	-	-	-	-
CM4946	CM4946	770	93	303	332679	35802.03	12344	501	95878	25886	27567566	-	-	-	-	-	-
CM5419	CM5419	969	104	370	494542	29689.98	8841	501	81189	20589	28769592	-	-	-	-	-	-
CM5757	CM5757	670	83	291	496389	42470.63	19297	506	108020	27827	28455323	-	-	-	-	-	-
CM6126	CM6126	960	112	392	344623	29787.88	11649	501	77526	20594	28596367	-	-	-	-	-	-
CM6458	CM6458	770	82	293	387769	37085.92	11244	500	102949	24133	28556157	-	-	-	-	-	-
CM7510	CM7510	834	115	387	398439	34373.35	18100	510	78979	21226	28667374	-	-	-	-	-	-
CM7555	CM7555	561	85	277	407655	51269.92	28706	503	108456	29860	28762427	-	-	-	-	-	-
CM7560	CM7560	602	89	285	440366	45072.92	24999	518	97869	26612	27133899	-	-	-	-	-	-
CM7632	CM7632	708	84	277	453235	40091.96	13880	502	104430	28203	28385105	-	-	-	-	-	-
COH_1192	COH_1192	277	16	55	1695102	99996.22	2631	500	557923	141914	27698953	-	-	-	-	-	-
COH_371	COH_371	427	33	114	835686	65439.16	3634	501	263805	71458	27942522	-	-	-	-	-	-
COH_400	COH_400	483	35	111	756802	59798.19	3344	502	274630	70795	28882528	-	-	-	-	-	-
COH_694	COH_694	326	37	115	738197	86898.07	25966	501	262054	75141	28328771	-	-	-	-	-	-
COH_762	COH_762	284	25	80	1128043	99827.40	8369	506	391591	90611	28350981	-	-	-	-	-	-
COH_880	COH_880	429	38	119	781397	65274.09	5026	500	238956	65071	28002584	-	-	-	-	-	-
COH_885	COH_885	804	45	183	1195335	36211.68	2040	500	167814	37260	29114187	-	-	-	-	-	-
COH_913	COH_913	430	57	189	592158	66595.98	32674	500	154774	42345	28636272	-	-	-	-	-	-
COH_934	COH_934	2645	81	481	675062	10952.15	946	500	87193	7810	28968429	-	-	-	-	-	-
D17	D17	402	48	161	625816	69556.15	24730	507	173508	44604	27961571	-	-	-	-	-	-
F11628	F11628	1299	119	412	353501	21961.51	3125	500	71584	17253	28528000	-	-	-	-	-	-
F12041	F12041	387	35	116	729743	73409.63	9122	503	253935	71268	28409526	-	-	-	-	-	-
F12219	F12219	278	31	90	869080	100083.38	12085	505	317058	90956	27823179	-	-	-	-	-	-
F12636	F12636	335	36	122	994745	85437.57	21894	512	240289	63411	28621587	-	-	-	-	-	-
F12865	F12865	1352	118	420	353463	21083.71	2833	500	70337	16967	28505177	-	-	-	-	-	-
F13535	F13535	366	35	118	909984	77604.69	13848	508	243195	65164	28403318	-	-	-	-	-	-
F13619	F13619	559	38	134	766966	52021.85	3906	501	224803	49573	29080216	-	-	-	-	-	-
F13952	F13952	407	36	122	909985	69742.51	10157	504	229302	59658	28385200	-	-	-	-	-	-
F14403	F14403	256	24	79	1400692	110350.75	12714	504	380962	94913	28249792	-	-	-	-	-	-
F14513G	F14513G	392	34	118	909973	72452.57	10742	506	247216	62585	28401408	-	-	-	-	-	-
F14532	F14532	514	43	142	788390	54999.24	5681	507	207638	48379	28269610	-	-	-	-	-	-
F14946G	F14946G	220	22	70	1146057	127991.10	19003	505	419130	117172	28158041	-	-	-	-	-	-
F15390	F15390	584	48	161	644259	48296.51	3946	500	185897	44601	28205164	-	-	-	-	-	-
F15767	F15767	995	104	359	459233	28799.79	7094	500	83116	21782	28655792	-	-	-	-	-	-
F15927	F15927	161	11	36	1983018	170220.43	6069	505	838114	237511	27405489	-	-	-	-	-	-
F16134	F16134	404	33	111	1649255	69160.01	6140	505	272146	70199	27940645	-	-	-	-	-	-
F16216	F16216	424	39	125	611078	66090.68	7232	502	235526	52493	28022450	-	-	-	-	-	-
F16311	F16311	267	23	80	1146338	105820.34	9847	502	377897	98792	28254031	-	-	-	-	-	-
F17582	F17582	387	38	133	782431	72769.71	16756	504	220127	49475	28161877	-	-	-	-	-	-
F17729	F17729	277	28	87	1193303	101556.13	13663	509	366284	89295	28131049	-	-	-	-	-	-
F17729W	F17729W	318	33	101	700558	88362.62	12843	506	286237	82644	28099314	-	-	-	-	-	-
F17764	F17764	399	33	109	1170555	69551.76	4821	502	279793	70554	27751154	-	-	-	-	-	-
F17999	F17999	3402	477	1802	114621	7954.22	4198	501	15648	3723	27060266	-	-	-	-	-	-
F18085	F18085	311	24	82	1247749	90792.84	7088	505	406755	78768	28236572	-	-	-	-	-	-
F18304	F18304	1593	165	587	343496	17939.66	4957	501	51322	12070	28577879	-	-	-	-	-	-
F18329	F18329	455	53	180	496266	61340.46	22116	506	168083	39890	27909908	-	-	-	-	-	-
F18454	F18454	2522	339	1282	129140	10723.29	5452	501	22456	5326	27044132	-	-	-	-	-	-
F20063	F20063	1230	144	500	259037	22731.74	8894	500	57566	14135	27960038	-	-	-	-	-	-
F20140	F20140	270	26	85	1114253	103546.32	12550	500	343440	89029	27957506	-	-	-	-	-	-
F20451	F20451	2552	232	939	245228	11199.79	2630	500	33894	6712	28581856	-	-	-	-	-	-
F21572	F21572	619	70	254	493034	45841.23	17362	502	121704	26928	28375719	-	-	-	-	-	-
F21732	F21732	879	113	405	319180	32041.82	14833	501	74668	17257	28164760	-	-	-	-	-	-
F21857	F21857	838	105	370	313325	33281.91	13857	501	78771	17950	27890238	-	-	-	-	-	-
F4S1B	F4S1B	1065	115	397	297617	25844.03	7895	501	72405	17554	27523889	-	-	-	-	-	-
F5211G	F5211G	309	36	113	798172	92525.38	28811	500	262691	66240	28590343	-	-	-	-	-	-
IFM_55369	IFM_55369	768	85	297	410827	36416.36	12398	500	103211	25694	27967768	-	-	-	-	-	-
IFM_58026	IFM_58026	987	134	444	208575	28125.98	13618	500	67344	17906	27760339	-	-	-	-	-	-
IFM_58029	IFM_58029	813	87	301	294534	34331.32	10808	505	104061	25348	27911363	-	-	-	-	-	-
IFM_58401	IFM_58401	1002	121	394	231144	27671.78	9579	502	73585	20189	27727124	-	-	-	-	-	-
IFM_59056	IFM_59056	626	67	225	499868	44576.88	12109	500	126240	33223	27905126	-	-	-	-	-	-
IFM_59073	IFM_59073	699	83	269	428082	40207.91	13854	501	104466	29669	28105328	-	-	-	-	-	-
IFM_59355-1	IFM_59355-1	358	47	146	743464	79373.30	31631	513	203554	54788	28415641	-	-	-	-	-	-
IFM_59355-2	IFM_59355-2	365	53	162	488479	77841.43	34470	513	177554	47901	28412121	-	-	-	-	-	-
IFM_59356-1	IFM_59356-1	272	40	122	741767	104469.84	53507	500	235731	70861	28415797	-	-	-	-	-	-
IFM_59356-2	IFM_59356-2	1446	169	600	228574	19609.13	7434	502	48532	12167	28354805	-	-	-	-	-	-
IFM_59356-3	IFM_59356-3	986	109	355	299534	28381.01	7643	500	82432	21824	27983677	-	-	-	-	-	-
IFM_59359	IFM_59359	2482	150	610	274857	11489.38	1023	500	54339	9253	28516632	-	-	-	-	-	-
IFM_59361	IFM_59361	960	69	226	425998	30220.11	1867	500	133652	31415	29011306	-	-	-	-	-	-
IFM_59361-1	IFM_59361-1	602	25	92	1421694	47905.75	1690	502	345799	80075	28839259	-	-	-	-	-	-
IFM_59361-2	IFM_59361-2	563	25	92	1094882	51814.93	1738	500	333849	73169	29171806	-	-	-	-	-	-
IFM_59365	IFM_59365	2	1	2	7946	4495.00	7946	1044	7946	1044	8990	-	-	-	-	-	-
IFM_59777	IFM_59777	1157	102	369	428150	24819.09	3773	500	78232	19869	28715686	-	-	-	-	-	-
IFM_60237	IFM_60237	688	39	131	636333	42667.47	1961	501	253059	60893	29355221	-	-	-	-	-	-
IFM_60514	IFM_60514	615	75	248	623288	45178.53	19264	500	111994	33059	27784798	-	-	-	-	-	-
IFM_61118	IFM_61118	1035	131	434	246899	26965.90	10872	500	65947	18705	27909709	-	-	-	-	-	-
IFM_61407	IFM_61407	2859	141	649	317166	9922.84	998	492	53240	7289	28369399	-	-	-	-	-	-
IFM_61578	IFM_61578	981	102	350	318880	28378.22	7561	500	91098	20343	27839036	-	-	-	-	-	-
IFM_61610	IFM_61610	725	79	265	459269	38538.30	10794	500	109493	29197	27940266	-	-	-	-	-	-
IFM_62115	IFM_62115	1	1	1	7946	7946.00	7946	7946	7946	7946	7946	-	-	-	-	-	-
IFM_62516	IFM_62516	1086	121	400	275378	25825.62	7456	500	71390	19422	28046624	-	-	-	-	-	-
ISSF_21	ISSF_21	146	14	43	2292047	193985.18	22108	525	668216	190385	28321837	-	-	-	-	-	-
M128	M128	7146	363	3175	334727	4050.21	958	498	17017	1029	28942809	-	-	-	-	-	-
MO54056EXP	MO54056EXP	221	25	74	1078860	129762.53	20845	511	404472	109400	28677520	-	-	-	-	-	-
MO69250EXP	MO69250EXP	233	22	65	1097745	121982.22	7628	500	485895	118424	28421858	-	-	-	-	-	-
MO76959EXP	MO76959EXP	260	21	71	1192584	109368.43	7939	500	444514	112469	28435793	-	-	-	-	-	-
MO78722EXP	MO78722EXP	199	21	68	1721595	143099.57	36355	504	472253	106488	28476814	-	-	-	-	-	-
MO79587EXP	MO79587EXP	225	14	48	2872216	123151.69	5609	502	581791	157388	27709131	-	-	-	-	-	-
MO89263LAB	MO89263LAB	231	20	63	1109744	122939.53	9404	500	502651	115808	28399032	-	-	-	-	-	-
MO91298SB	MO91298SB	194	19	54	1102163	141608.57	10559	510	532557	132652	27472063	-	-	-	-	-	-
Mg18-1	Mg18-1	346	29	89	943037	81867.45	2611	500	306112	99706	28326136	-	-	-	-	-	-
Moose-3_1_2	Moose-3_1_2	473	38	146	802656	60185.37	8616	502	199971	46260	28467678	-	-	-	-	-	-
Moose_3-1.1	Moose_3-1.1	186	21	67	1292257	160646.49	32419	502	410963	146486	29880248	-	-	-	-	-	-
NCPF-7811	NCPF-7811	1568	163	563	213939	18147.09	4483	500	50955	12963	28454639	-	-	-	-	-	-
NCPF-7816	NCPF-7816	1559	133	471	279120	18324.41	2189	500	64107	15226	28567752	-	-	-	-	-	-
NCPF-7820	NCPF-7820	1895	213	778	238670	16111.13	5839	500	42229	9599	30530586	-	-	-	-	-	-
NCPF-7822	NCPF-7822	1017	104	357	319612	27259.90	6271	500	83062	20086	27723315	-	-	-	-	-	-
Oryx-1	Oryx-1	255	37	119	700531	109671.04	54176	521	252898	63110	27966114	-	-	-	-	-	-
RSF2S8	RSF2S8	484	58	196	560677	59017.85	21367	502	154401	37716	28564639	-	-	-	-	-	-
SF1S5	SF1S5	323	35	125	909983	87315.26	31245	508	233840	53589	28202829	-	-	-	-	-	-
SF1S6	SF1S6	283	31	106	1132231	100457.95	30017	510	288327	70482	28429601	-	-	-	-	-	-
SF2S6	SF2S6	315	36	124	709384	89791.60	31358	501	250260	68915	28284354	-	-	-	-	-	-
SF2S9	SF2S9	543	60	192	584427	51426.26	13355	503	144852	38794	27924457	-	-	-	-	-	-
SF3S1	SF3S1	273	27	96	894346	102562.60	24658	509	349820	79147	27999590	-	-	-	-	-	-
SF3S10	SF3S10	268	29	99	1372241	104536.33	32049	509	296027	77245	28015737	-	-	-	-	-	-
SF4S10	SF4S10	397	54	180	528600	71877.57	34029	507	171462	42081	28535397	-	-	-	-	-	-
TP12	TP12	2912	128	506	316950	10550.22	855	500	72774	10309	30722243	-	-	-	-	-	-
TP32	TP32	690	97	327	315381	40370.14	22675	506	84505	25447	27855395	-	-	-	-	-	-
akuBKU80	akuBKU80	5228	158	1731	333341	6851.86	1282	500	61768	1906	35821546	-	-	-	-	-	-
